51.0,23.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0,1362.0,1
42.0,23.0,77.0,0.0,28.0,0.0,34.0,48.0,14.0,1808.0,1
50.0,23.0,77.0,0.0,-22.0,0.0,27.0,101.0,74.0,2798.0,1
42.0,22.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0,4765.0,1
49.0,31.0,77.0,0.0,-22.0,0.0,28.0,101.0,72.0,4801.0,1
48.0,45.0,77.0,0.0,-22.0,0.0,29.0,101.0,72.0,5744.0,1
50.0,22.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0,7082.0,1
42.0,23.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0,7530.0,1
57.0,92.0,80.0,0.0,34.0,0.0,23.0,46.0,24.0,8186.0,1
44.0,27.0,77.0,0.0,28.0,0.0,33.0,48.0,16.0,9932.0,1
49.0,22.0,79.0,0.0,42.0,0.0,30.0,37.0,8.0,10532.0,1
64.0,78.0,82.0,0.0,-42.0,-6.0,18.0,126.0,108.0,10946.0,1
47.0,22.0,79.0,0.0,42.0,0.0,31.0,37.0,6.0,14178.0,1
37.0,-1.0,79.0,-3.0,10.0,-8.0,42.0,68.0,26.0,3120.0,0
37.0,4.0,78.0,0.0,16.0,2.0,41.0,63.0,22.0,7737.0,0
44.0,0.0,76.0,4.0,42.0,-28.0,32.0,35.0,2.0,4022.0,0
37.0,-1.0,79.0,-6.0,12.0,-15.0,42.0,66.0,24.0,6184.0,0
47.0,-1.0,106.0,-1.0,46.0,0.0,60.0,60.0,0.0,2049.0,0
55.0,0.0,77.0,0.0,18.0,381.0,21.0,59.0,38.0,11906.0,0
37.0,0.0,77.0,0.0,12.0,0.0,40.0,64.0,24.0,4955.0,0
38.0,0.0,77.0,8.0,38.0,8.0,39.0,38.0,0.0,2772.0,0
37.0,0.0,79.0,0.0,28.0,19.0,42.0,50.0,8.0,470.0,0
80.0,3.0,84.0,0.0,-28.0,-10.0,4.0,112.0,108.0,5129.0,0
57.0,4.0,96.0,0.0,56.0,0.0,39.0,39.0,0.0,14227.0,0
44.0,2.0,76.0,0.0,44.0,11.0,32.0,32.0,0.0,2188.0,0
37.0,0.0,104.0,0.0,26.0,-30.0,67.0,78.0,12.0,4540.0,0
56.0,2.0,81.0,3.0,-4.0,0.0,25.0,86.0,62.0,9578.0,0
37.0,0.0,79.0,0.0,30.0,13.0,42.0,48.0,6.0,6046.0,0
37.0,1.0,93.0,0.0,10.0,0.0,56.0,83.0,28.0,921.0,0
51.0,0.0,82.0,0.0,50.0,-13.0,31.0,33.0,2.0,7585.0,0
44.0,0.0,75.0,0.0,42.0,-27.0,31.0,34.0,2.0,1578.0,0
37.0,-1.0,82.0,-3.0,36.0,-6.0,45.0,46.0,2.0,4234.0,0
